OrderID,Currency,SaleAmount,SaleAmountUSD,ConversionTime
1001,USD,299.99,299.99,2025-08-06T11:16:39.117Z
1005,USD,89.5,89.5,2025-08-06T11:16:39.117Z
1007,GBP,120.0,159.5744680851064,2025-08-06T11:16:39.117Z
1008,USD,300.0,300.0,2025-08-06T11:16:39.117Z
1009,USD,0.0,0.0,2025-08-06T11:16:39.117Z
1010,USD,450.0,450.0,2025-08-06T11:16:39.117Z
1011,USD,250.0,250.0,2025-08-06T11:16:39.117Z
1012,GBP,210.0,279.25531914893617,2025-08-06T11:16:39.117Z
1013,EUR,175.5,202.89017341040463,2025-08-06T11:16:39.117Z
1014,EUR,0.0,0.0,2025-08-06T11:16:39.117Z
1015,USD,-25.0,-25.0,2025-08-06T11:16:39.117Z
1016,USD,300.0,300.0,2025-08-06T11:16:39.117Z
1017,GBP,215.0,285.90425531914894,2025-08-06T11:16:39.117Z
1018,EUR,105.0,121.38728323699422,2025-08-06T11:16:39.117Z
1019,USD,140.0,140.0,2025-08-06T11:16:39.117Z
